Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Oct-24 04:25:04,7,124,2022-08-01 21:36:42.395161+00:00,2022-09-05 22:17:38+00:00,2023-09-22 11:25:09.285714+00:00,2023-10-20 02:44:35+00:00
2023-Oct-25 04:25:53,9,122,2022-07-27 12:57:50.909836+00:00,2022-08-30 19:11:31+00:00,2023-09-30 03:49:51.777778+00:00,2023-10-20 15:20:22+00:00
2023-Oct-26 04:25:04,7,125,2022-08-07 11:10:24.208000+00:00,2022-09-05 22:17:38+00:00,2023-09-23 01:34:12.571429+00:00,2023-10-20 02:44:35+00:00
2023-Oct-27 04:25:24,6,125,2022-08-07 11:10:24.208000+00:00,2022-09-05 22:17:38+00:00,2023-09-17 18:56:26.166667+00:00,2023-10-20 02:44:35+00:00
2023-Oct-28 04:24:45,7,123,2022-07-31 17:30:27.406504+00:00,2022-08-30 19:11:31+00:00,2023-09-23 12:59:28+00:00,2023-10-20 02:44:35+00:00
2023-Oct-29 04:24:42,7,123,2022-07-31 17:30:27.406504+00:00,2022-08-30 19:11:31+00:00,2023-09-23 12:59:28+00:00,2023-10-20 02:44:35+00:00
2023-Oct-30 04:25:46,7,123,2022-07-31 17:30:27.406504+00:00,2022-08-30 19:11:31+00:00,2023-09-23 12:59:28+00:00,2023-10-20 02:44:35+00:00
2023-Oct-31 04:25:45,9,120,2022-07-28 15:11:55.675000+00:00,2022-09-05 22:17:38+00:00,2023-10-01 19:19:00.777778+00:00,2023-10-20 15:20:22+00:00
2023-Nov-01 04:25:59,8,121,2022-08-01 10:24:45.347107+00:00,2022-09-05 22:17:38+00:00,2023-09-29 12:23:19+00:00,2023-10-23 19:37:47+00:00
2023-Nov-02 04:25:43,4,121,2022-08-01 19:03:22.289256+00:00,2022-09-05 22:17:38+00:00,2023-08-31 16:49:03.750000+00:00,2023-10-11 23:04:56+00:00
2023-Nov-03 04:25:39,3,119,2022-07-25 10:27:13.226891+00:00,2022-08-30 19:11:31+00:00,2023-08-17 22:43:46.333333+00:00,2023-09-14 13:55:40+00:00
2023-Nov-04 04:25:29,4,119,2022-07-25 10:27:13.226891+00:00,2022-08-30 19:11:31+00:00,2023-09-06 09:53:08.750000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-05 04:25:19,4,119,2022-07-25 10:27:13.226891+00:00,2022-08-30 19:11:31+00:00,2023-09-06 09:53:08.750000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-06 04:26:25,4,119,2022-07-25 10:27:13.226891+00:00,2022-08-30 19:11:31+00:00,2023-09-06 09:53:08.750000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-07 04:25:46,4,119,2022-07-25 10:27:13.226891+00:00,2022-08-30 19:11:31+00:00,2023-09-06 09:53:08.750000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-09 04:26:10,4,120,2022-07-29 08:29:18.375000+00:00,2022-09-05 22:17:38+00:00,2023-09-06 09:53:08.750000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-10 04:25:52,4,121,2022-08-02 05:21:03.413223+00:00,2022-09-05 22:17:38+00:00,2023-09-07 20:44:36.250000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-11 04:25:29,3,120,2022-07-29 08:29:18.375000+00:00,2022-09-05 22:17:38+00:00,2023-08-17 22:43:46.333333+00:00,2023-09-14 13:55:40+00:00
2023-Nov-12 04:25:16,3,120,2022-07-29 08:29:18.375000+00:00,2022-09-05 22:17:38+00:00,2023-08-17 22:43:46.333333+00:00,2023-09-14 13:55:40+00:00
2023-Nov-13 04:26:22,3,120,2022-07-29 08:29:18.375000+00:00,2022-09-05 22:17:38+00:00,2023-08-17 22:43:46.333333+00:00,2023-09-14 13:55:40+00:00
2023-Nov-14 04:25:41,3,122,2022-08-06 02:14:03.081967+00:00,2022-09-13 10:17:05+00:00,2023-08-17 22:43:46.333333+00:00,2023-09-14 13:55:40+00:00
2023-Nov-15 04:26:04,5,122,2022-08-06 02:14:03.081967+00:00,2022-09-13 10:17:05+00:00,2023-09-22 11:44:20.200000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-16 04:27:12,5,122,2022-08-06 02:14:03.081967+00:00,2022-09-13 10:17:05+00:00,2023-09-22 11:44:20.200000+00:00,2023-10-20 15:20:22+00:00
2023-Nov-17 04:27:04,6,122,2022-08-06 02:14:03.081967+00:00,2022-09-13 10:17:05+00:00,2023-10-01 15:36:02.666667+00:00,2023-11-14 12:36:07+00:00
2023-Nov-18 04:26:01,6,122,2022-08-06 02:14:03.081967+00:00,2022-09-13 10:17:05+00:00,2023-10-13 02:36:23.333333+00:00,2023-11-17 20:04:01+00:00
2023-Nov-19 04:25:51,6,122,2022-08-06 02:14:03.081967+00:00,2022-09-13 10:17:05+00:00,2023-10-13 02:36:23.333333+00:00,2023-11-17 20:04:01+00:00
